MPIO;Rural/Urbano
5059;Rural
5055;Rural
5051;Urbano
5045;Urbano
5044;Rural
5042;Rural
5040;Rural
5038;Rural
5036;Urbano
5034;Urbano
5031;Rural
5030;Urbano
5021;Rural
5004;Rural
5002;Rural
5895;Rural
5893;Rural
5890;Rural
5887;Urbano
5885;Rural
5861;Urbano
5858;Rural
5856;Rural
5854;Rural
5842;Rural
5837;Urbano
5819;Rural
5809;Urbano
5792;Urbano
5790;Urbano
5789;Urbano
5761;Urbano
5756;Rural
5736;Urbano
5697;Urbano
5690;Rural
5686;Rural
5679;Urbano
5306;Rural
5282;Urbano
5266;Urbano
5264;Rural
5250;Urbano
5240;Rural
5237;Urbano
5212;Urbano
5209;Urbano
5206;Rural
5197;Rural
5190;Urbano
5172;Urbano
5154;Urbano
5150;Rural
5148;Urbano
5147;Urbano
5145;Urbano
5142;Rural
5138;Rural
5134;Rural
5129;Urbano
5125;Rural
5674;Urbano
5670;Rural
5667;Rural
5665;Urbano
5664;Urbano
5660;Rural
5659;Urbano
5658;Rural
5656;Urbano
5652;Rural
5649;Rural
5647;Rural
5642;Rural
5631;Urbano
5628;Rural
5615;Urbano
5607;Urbano
5604;Rural
5591;Urbano
5585;Rural
5579;Urbano
5576;Urbano
5543;Rural
5541;Urbano
5501;Rural
5495;Rural
5490;Rural
5483;Rural
5480;Rural
5467;Urbano
5440;Urbano
5425;Rural
5411;Rural
5400;Urbano
5390;Urbano
5380;Urbano
5376;Urbano
5368;Urbano
5364;Urbano
5360;Urbano
5353;Urbano
5347;Urbano
5321;Urbano
5318;Urbano
5315;Urbano
5313;Urbano
5310;Rural
5308;Urbano
68001;Urbano
68013;Rural
68020;Rural
68051;Rural
68077;Urbano
68079;Urbano
68081;Urbano
68092;Rural
68101;Rural
68121;Rural
68132;Rural
68147;Urbano
68152;Rural
68160;Rural
68162;Rural
68167;Rural
68169;Rural
68176;Rural
68179;Rural
68190;Rural
68207;Rural
68209;Rural
68615;Rural
68655;Rural
68669;Rural
68673;Rural
68679;Urbano
68682;Rural
68684;Rural
68686;Rural
68689;Rural
68705;Rural
68720;Rural
68745;Rural
68755;Urbano
68770;Rural
68773;Rural
68780;Rural
68820;Rural
68855;Urbano
68861;Rural
68867;Rural
68872;Urbano
68895;Rural
68370;Rural
68377;Rural
68385;Rural
68397;Rural
68406;Urbano
68418;Rural
68425;Rural
68432;Urbano
68444;Rural
68464;Rural
68468;Rural
68498;Rural
68500;Rural
68502;Rural
68522;Urbano
68524;Rural
68533;Urbano
68547;Urbano
68549;Rural
68572;Rural
68573;Rural
68575;Rural
68211;Rural
68217;Rural
68229;Rural
68235;Rural
68245;Rural
68250;Rural
68255;Rural
68264;Rural
68266;Rural
68271;Rural
68276;Urbano
68296;Rural
68298;Rural
68307;Urbano
68318;Rural
68320;Rural
68322;Rural
68324;Rural
68327;Urbano
68344;Rural
68368;Rural
76001;Urbano
76036;Urbano
76041;Urbano
76054;Urbano
76111;Urbano
76318;Urbano
76020;Urbano
76497;Urbano
76520;Urbano
76563;Urbano
76606;Urbano
76616;Rural
76622;Urbano
76670;Urbano
76736;Urbano
76823;Urbano
76828;Urbano
76834;Urbano
76845;Urbano
76863;Rural
76869;Urbano
76890;Rural
76892;Urbano
76895;Urbano
76403;Rural
76400;Urbano
76377;Rural
76364;Urbano
81001;Urbano
81591;Rural
81220;Rural
81065;Rural
52683;Urbano
52685;Urbano
52687;Rural
52560;Rural
52693;Urbano
52565;Urbano
52694;Urbano
52573;Rural
52699;Rural
52585;Urbano
52678;Urbano
52207;Rural
52210;Urbano
52215;Rural
52001;Urbano
52019;Urbano
52022;Rural
52224;Urbano
52036;Rural
52051;Urbano
52083;Urbano
52110;Rural
52203;Urbano
52480;Urbano
52506;Urbano
52720;Rural
52786;Rural
52788;Rural
52240;Urbano
52254;Rural
52258;Rural
52838;Urbano
52411;Rural
52885;Rural
52435;Rural
52378;Urbano
52381;Rural
52260;Rural
52287;Rural
52317;Rural
52399;Urbano
52320;Urbano
52405;Rural
52323;Urbano
52352;Urbano
52354;Rural
52356;Urbano
17001;Urbano
17013;Rural
17486;Urbano
17446;Rural
17444;Urbano
17442;Urbano
17433;Urbano
17388;Urbano
17380;Urbano
17272;Urbano
17174;Urbano
17088;Urbano
17050;Urbano
17042;Urbano
17495;Rural
17877;Urbano
17873;Urbano
17867;Rural
17777;Urbano
17665;Urbano
17662;Rural
17653;Rural
17616;Urbano
17541;Rural
17524;Urbano
17513;Rural
18001;Urbano
18029;Rural
18094;Rural
18247;Rural
18256;Rural
18410;Rural
18460;Rural
18479;Rural
85001;Urbano
85010;Urbano
85015;Rural
85136;Rural
85139;Rural
85162;Rural
85225;Rural
85230;Rural
85263;Rural
85279;Rural
85300;Rural
85315;Rural
85325;Rural
85400;Rural
85410;Rural
85430;Rural
85440;Rural
19001;Urbano
19022;Rural
19050;Rural
19075;Rural
19100;Rural
19110;Rural
19130;Rural
19137;Rural
19142;Rural
19212;Urbano
19290;Urbano
19300;Urbano
19355;Rural
19364;Rural
19392;Rural
19397;Rural
19450;Rural
19455;Urbano
19473;Rural
19513;Urbano
19517;Rural
19532;Rural
19533;Rural
19548;Urbano
19573;Urbano
19585;Rural
19622;Urbano
19693;Rural
19698;Urbano
19701;Rural
19743;Rural
19760;Rural
19780;Rural
19785;Rural
19807;Urbano
19821;Rural
19824;Rural
19845;Urbano
20011;Urbano
20032;Rural
20060;Urbano
20175;Rural
20178;Rural
20228;Rural
20238;Rural
20250;Rural
20295;Rural
20310;Rural
20383;Rural
20400;Rural
20443;Urbano
20517;Rural
20550;Rural
20614;Rural
20710;Rural
20750;Rural
20770;Rural
20787;Rural
41001;Urbano
41306;Urbano
41319;Rural
41349;Rural
41357;Rural
41359;Rural
41378;Rural
41396;Urbano
41483;Rural
41503;Rural
41518;Rural
41524;Rural
41530;Rural
41548;Urbano
41551;Urbano
41615;Rural
41660;Rural
41668;Rural
41676;Rural
41770;Rural
41791;Rural
41797;Rural
41799;Rural
41801;Rural
41807;Urbano
41872;Rural
41885;Rural
41298;Urbano
41244;Rural
41206;Rural
41132;Urbano
41078;Rural
41026;Rural
41020;Rural
41016;Rural
41013;Rural
41006;Rural
44078;Rural
44098;Urbano
44110;Rural
44279;Urbano
44378;Urbano
44420;Rural
44855;Urbano
44874;Urbano
47541;Rural
47030;Rural
47058;Rural
47161;Rural
47170;Rural
47205;Urbano
47245;Urbano
47258;Rural
47268;Urbano
47318;Rural
47460;Rural
47545;Rural
47551;Rural
47555;Urbano
47570;Rural
47605;Rural
47660;Rural
47675;Rural
47692;Rural
47703;Rural
47707;Rural
47720;Rural
47745;Rural
47798;Rural
47960;Rural
47980;Urbano
50001;Urbano
50006;Urbano
50110;Rural
50124;Rural
50150;Rural
50223;Rural
50226;Rural
50245;Rural
50251;Rural
50270;Rural
50287;Rural
50313;Urbano
50318;Rural
50330;Rural
50370;Rural
50400;Rural
50450;Rural
50573;Rural
50577;Rural
50590;Rural
50606;Rural
50680;Rural
50683;Rural
50686;Rural
50689;Rural
50711;Rural
86001;Urbano
86219;Urbano
86320;Rural
86749;Urbano
86755;Rural
86757;Rural
86760;Rural
86865;Urbano
86885;Rural
63001;Urbano
63111;Urbano
63130;Urbano
63190;Urbano
63212;Urbano
63272;Urbano
63302;Rural
63401;Urbano
63470;Urbano
63548;Rural
63594;Urbano
63690;Rural
66001;Urbano
66045;Urbano
66075;Rural
66088;Urbano
66170;Urbano
66318;Urbano
66383;Urbano
66400;Urbano
66440;Urbano
66594;Urbano
66682;Urbano
66687;Urbano
70001;Urbano
70110;Urbano
70124;Rural
70204;Rural
70215;Urbano
70221;Urbano
70230;Urbano
70233;Urbano
70235;Urbano
70265;Rural
